日期,星期,月份,是否周末,三态标签
2025-06-26,星期四,6,0,正常
2025-06-27,星期五,6,0,正常
2025-06-28,星期六,6,1,正常
2025-06-29,星期日,6,1,正常
2025-06-30,星期一,6,0,正常
2025-07-01,星期二,7,0,正常
2025-07-02,星期三,7,0,正常
2025-07-03,星期四,7,0,正常
2025-07-04,星期五,7,0,正常
2025-07-05,星期六,7,1,正常
2025-07-06,星期日,7,1,正常
2025-07-07,星期一,7,0,正常
2025-07-08,星期二,7,0,正常
2025-07-09,星期三,7,0,正常
2025-07-10,星期四,7,0,正常
2025-07-11,星期五,7,0,正常
2025-07-12,星期六,7,1,正常
2025-07-13,星期日,7,1,正常
2025-07-14,星期一,7,0,正常
2025-07-15,星期二,7,0,正常
2025-07-16,星期三,7,0,正常
2025-07-17,星期四,7,0,正常
2025-07-18,星期五,7,0,正常
2025-07-19,星期六,7,1,正常
2025-07-20,星期日,7,1,正常
2025-07-21,星期一,7,0,正常
2025-07-22,星期二,7,0,正常
2025-07-23,星期三,7,0,正常
2025-07-24,星期四,7,0,正常
2025-07-25,星期五,7,0,正常
2025-07-26,星期六,7,1,正常
2025-07-27,星期日,7,1,正常
2025-07-28,星期一,7,0,正常
2025-07-29,星期二,7,0,正常
2025-07-30,星期三,7,0,正常
2025-07-31,星期四,7,0,正常
2025-08-01,星期五,8,0,正常
2025-08-02,星期六,8,1,正常
2025-08-03,星期日,8,1,正常
2025-08-04,星期一,8,0,正常
2025-08-05,星期二,8,0,正常
2025-08-06,星期三,8,0,正常
2025-08-07,星期四,8,0,正常
2025-08-08,星期五,8,0,正常
2025-08-09,星期六,8,1,正常
2025-08-10,星期日,8,1,正常
2025-08-11,星期一,8,0,正常
2025-08-12,星期二,8,0,正常
2025-08-13,星期三,8,0,正常
2025-08-14,星期四,8,0,正常
2025-08-15,星期五,8,0,正常
2025-08-16,星期六,8,1,正常
2025-08-17,星期日,8,1,正常
2025-08-18,星期一,8,0,正常
2025-08-19,星期二,8,0,正常
2025-08-20,星期三,8,0,正常
2025-08-21,星期四,8,0,正常
2025-08-22,星期五,8,0,正常
2025-08-23,星期六,8,1,正常
2025-08-24,星期日,8,1,正常
2025-08-25,星期一,8,0,正常
2025-08-26,星期二,8,0,正常
2025-08-27,星期三,8,0,正常
2025-08-28,星期四,8,0,正常
2025-08-29,星期五,8,0,正常
2025-08-30,星期六,8,1,正常
2025-08-31,星期日,8,1,正常
2025-09-01,星期一,9,0,正常
2025-09-02,星期二,9,0,正常
2025-09-03,星期三,9,0,正常
2025-09-04,星期四,9,0,正常
2025-09-05,星期五,9,0,正常
2025-09-06,星期六,9,1,正常
2025-09-07,星期日,9,1,正常
2025-09-08,星期一,9,0,正常
2025-09-09,星期二,9,0,正常
2025-09-10,星期三,9,0,正常
2025-09-11,星期四,9,0,正常
2025-09-12,星期五,9,0,正常
2025-09-13,星期六,9,1,正常
2025-09-14,星期日,9,1,正常
2025-09-15,星期一,9,0,正常
