设定,消费弹性lnC,p_lnC,趋势T,p_T,周末,p_周末,假日H,p_假日,R2,adjR2
基准·简化A,0.73866,0.0,0.000151,0.67189,-0.077811,0.053971,-0.164114,0.32779,0.744588,0.74175
修正·补班+周一(B),0.722511,0.0,0.000153,0.671544,-0.106692,0.022252,-0.182909,0.288431,0.74663,0.742384
剔消费峰 3/19,0.74061,0.0,0.000144,0.685196,-0.078589,0.052429,-0.162428,0.334028,0.743887,0.741033
剔春节 1/28-2/4,0.741762,0.0,7.5e-05,0.834183,-0.081067,0.047194,-0.058468,0.727932,0.732356,0.729315
剔补班 5 天,0.73909,0.0,0.000151,0.677147,-0.084965,0.038129,-0.160707,0.342379,0.74449,0.741611
+月度固定效应,0.732498,0.0,-0.007268,0.017496,-0.064203,0.125339,-0.321964,0.010482,0.795938,0.787168
NW滞后=14,0.73866,0.0,0.000151,0.707494,-0.077811,0.045277,-0.164114,0.36721,0.744588,0.74175
NW滞后=21,0.73866,0.0,0.000151,0.714236,-0.077811,0.03413,-0.164114,0.358106,0.744588,0.74175
