模型,变量,系数,HAC标准误,p值,CI下,CI上
模型1,const,-0.6091286049476207,0.6843064412216291,0.3733906626683773,-1.950344584130789,0.7320873742355477
模型1,lnC,0.7238427311606116,0.08242902806636261,1.614441699673691e-18,0.5622848048698996,0.8854006574513236
模型1,t,0.051922039979299534,0.130847315055918,0.6915046626593919,-0.20453398500406536,0.3083780649626644
模型1,H,-0.1838537865115144,0.17716772069594824,0.29939175839424237,-0.5310961382986246,0.1633885652755957
模型1,W_星期三,0.11079580721108016,0.0816573564752228,0.17483267881877695,-0.0492496705531051,0.27084128497526544
模型1,W_星期二,0.15011775631262944,0.08263674742152463,0.06927867838223292,-0.011847292433092016,0.3120828050583509
模型1,W_星期五,0.06993189475836285,0.0717065420792313,0.32943564607665876,-0.07061034517283639,0.2104741346895621
模型1,W_星期六,-0.002357592224546489,0.06929336948001596,0.9728585347597134,-0.13817010077280475,0.1334549163237118
模型1,W_星期四,0.05061415723279755,0.07214937419725408,0.4829791781020636,-0.09079601770092391,0.192024332166519
模型1,W_星期日,-0.004965408955125855,0.06870920378359467,0.9423894154750977,-0.13963297377739461,0.12970215586714293
模型2,const,-0.9250376065915213,0.7358388142327085,0.2087102271459217,-2.367255180914289,0.5171799677312465
模型2,lnC,0.6402843769679122,0.07356102627602226,3.2003381797063647e-18,0.496107414801104,0.7844613391347204
模型2,lnC1,0.12289789666213187,0.0644588644057695,0.05657114698392278,-0.00343915605752719,0.24923494938179092
模型2,t,0.0608624662744747,0.1310406293394875,0.6423218432964266,-0.19597244774238357,0.317697380291333
模型2,H,-0.13875568803872798,0.1918136025067709,0.4694414463293891,-0.5147034406968808,0.2371920646194248
模型2,W_星期三,0.10182761109457045,0.0826711197839861,0.21805396992931203,-0.06020480624363905,0.26386002843277995
模型2,W_星期二,0.23891463934551893,0.10037066915857097,0.017297456067292865,0.04219174269053466,0.4356375360005032
模型2,W_星期五,0.05106202010476967,0.07095844756500833,0.4717685238744955,-0.08801398152152054,0.1901380217310599
模型2,W_星期六,-0.021661918957593826,0.06809316155924927,0.7503925497777357,-0.1551220632071897,0.11179822529200202
模型2,W_星期四,0.041211694394535,0.07332256652786984,0.5740750226373132,-0.10249789525413194,0.18492128404320196
模型2,W_星期日,-0.08006864030948893,0.06548164454097317,0.22141859989937684,-0.2084103052582502,0.04827302463927233
