设定,变量数k,R2,adjR2,AIC,BIC,经典F,消费弹性lnC,p_lnC,周末系数,p_周末,周末注册变化%,假日H,p_假日
A_简化(docx主模型),4,0.744588,0.74175,351.675634,371.175121,262.371669,0.73866,0.0,-0.077811,0.053971,-7.486037,-0.164114,0.32779
B_修正(补班+周一),6,0.74663,0.742384,352.745433,380.044714,175.825651,0.722511,0.0,-0.106692,0.022252,-10.119709,-0.182909,0.288431
C_完整6星期,9,0.747583,0.741184,357.370221,396.369194,116.822495,0.723843,0.0,,,,-0.183854,0.299392
D_完整+补班+周一,11,0.748067,0.74095,358.669917,401.568788,95.28771,0.724042,0.0,,,,-0.180433,0.311178
