日期,方案ID,推广单元ID,cpc_cal,ctr_cal,pos_hat,Bjt_hist
2026-09-11,63563817,1841014603,1.0513571980122658,0.038454804825915415,3.493536394437493,30.95
2026-09-12,63563817,1841014603,1.0653376211241063,0.041260973459642275,3.494506820383271,37.32
2026-09-13,63563817,1841014603,1.0442044049730232,0.03761964811937615,3.547200489984584,35.77
2026-09-14,63563817,1841014603,1.0530936225231926,0.03150044406142856,3.54657684304324,22.85
2026-09-15,63563817,1841014603,0.9933093224035963,0.03127548205420207,3.4979196789648097,7.99
2026-09-16,63563817,1841014603,1.1039440623347512,0.03329080079241373,3.483330362426333,7.78
2026-09-17,63563817,1841014603,1.1104698529285713,0.02376547870209545,3.474588104548414,3.36
2026-09-11,63563817,2526158329,1.1525732259363457,0.01531942094777175,3.904664704750324,0.0
2026-09-12,63563817,2526158329,1.0184018485805866,0.03735831923686155,3.9056351306961017,1.79
2026-09-13,63563817,2526158329,1.112998151074257,0.01311127473591555,3.9583288002974144,0.0
2026-09-14,63563817,2526158329,1.114190117434572,0.0117888101718688,3.957705153356071,0.0
2026-09-15,63563817,2526158329,1.146847102088784,0.01443078592147395,3.90904798927764,0.0
2026-09-16,63563817,2526158329,1.144361753300411,0.01583396127389675,3.894458672739164,0.0
2026-09-17,63563817,2526158329,1.149037635130969,0.0162789121916545,3.885716414861245,0.0
2026-09-11,63563817,2874903000,1.2085935975250182,0.027367469802015307,3.6124022367819526,19.98
2026-09-12,63563817,2874903000,1.1033051720136977,0.02158929732161787,3.6133726627277305,11.54
2026-09-13,63563817,2874903000,1.1182496143569394,0.02034569559465551,3.666066332329043,12.19
2026-09-14,63563817,2874903000,1.1393083460789166,0.019636684321548407,3.6654426853877,12.64
2026-09-15,63563817,2874903000,1.0313161285380612,0.021471533794387786,3.616785521309269,3.6
2026-09-16,63563817,2874903000,1.3463063500260934,0.025355104826361365,3.6021962047707925,6.13
2026-09-17,63563817,2874903000,0.9274264702612067,0.026525319467718005,3.5934539468928737,2.76
2026-09-11,63563817,4190988309,1.0504591437966178,0.008176402909075807,3.849614797146905,13.33
2026-09-12,63563817,4190988309,1.0531873606145759,0.005945349312089714,3.850585223092683,5.81
2026-09-13,63563817,4190988309,1.0391653788752064,0.005855374285266891,3.903278892693996,9.69
2026-09-14,63563817,4190988309,1.2267593982562919,0.006539110488243009,3.902655245752652,13.43
2026-09-15,63563817,4190988309,0.8115340872561498,0.004914603179809784,3.853998081674222,0.96
2026-09-16,63563817,4190988309,1.0502955075460134,0.006835843868641618,3.839408765135745,3.84
2026-09-17,63563817,4190988309,1.3226257448106655,0.004596319738024853,3.830666507257826,1.5
2026-09-11,63563817,4190988310,1.2683176037723358,0.02558080012261634,3.735167658119456,23.61
2026-09-12,63563817,4190988310,1.3220277227244794,0.02151723089108168,3.736138084065234,19.07
2026-09-13,63563817,4190988310,1.2802407255005663,0.01815224003881596,3.7888317536665466,14.42
2026-09-14,63563817,4190988310,1.2464552953615184,0.026239139501556867,3.788208106725203,31.05
2026-09-15,63563817,4190988310,1.125454097327991,0.01767517707902676,3.739550942646773,2.89
2026-09-16,63563817,4190988310,1.2303922696953595,0.02748506695071922,3.724961626108296,5.88
2026-09-17,63563817,4190988310,1.265017095571702,0.0188215518667489,3.716219368230377,3.72
2026-09-11,495403620,8878077181,0.6865264614622009,0.7274315385859659,1.2360773839438557,875.6
2026-09-12,495403620,8878077181,0.6841354127368867,0.7351532058862946,1.2370478098896336,795.66
2026-09-13,495403620,8878077181,0.6690512257738279,0.685050331197376,1.2897414794909463,687.78
2026-09-14,495403620,8878077181,0.6469027059092876,0.6838581560622837,1.2891178325496029,593.84
2026-09-15,495403620,8878077181,0.6645263826522185,0.7024783124989296,1.2404606684711723,167.74
2026-09-16,495403620,8878077181,0.6577953209645314,0.6920490535886303,1.2258713519326956,122.72
2026-09-17,495403620,8878077181,0.6586330512896903,0.7077215878902112,1.2171290940547763,151.36
